id_tarjeta,tipo,contactless,marca,fecha_expiracion,estado,numero
TAR1,Débito,true,Visa,2027-04-01,Activa,3325-9309-3723-6271
TAR2,Crédito,true,MasterCard,2026-10-01,Activa,6241-4819-5025-7311
TAR3,Crédito,true,MasterCard,2029-06-01,Activa,4007-8518-3621-7769
TAR4,Crédito,true,MasterCard,2029-12-01,Activa,8435-3518-2184-8308
TAR5,Débito,false,MasterCard,2027-06-01,Bloqueada,5923-1172-1258-7018
TAR6,Débito,true,Visa,2028-04-01,Activa,5538-9986-2222-1594
TAR7,Débito,true,AmericanExpress,2027-07-01,Activa,9584-7206-3195-5278
TAR8,Crédito,true,Visa,2026-07-01,Activa,2933-8227-8146-5144
TAR9,Crédito,true,AmericanExpress,2028-07-01,Activa,2583-8205-8531-5688
TAR10,Crédito,false,AmericanExpress,2026-06-01,Activa,9454-4296-2077-9891
TAR11,Crédito,true,AmericanExpress,2025-03-01,Activa,9719-9081-6748-5926
TAR12,Débito,true,MasterCard,2027-07-01,Activa,8707-9740-2244-7830
TAR13,Crédito,true,Visa,2025-11-01,Activa,4770-3295-1193-2603
TAR14,Crédito,false,AmericanExpress,2027-09-01,Activa,5035-5211-4158-5359
TAR15,Crédito,false,AmericanExpress,2026-03-01,Activa,5967-6449-5275-8502
TAR16,Crédito,false,MasterCard,2028-07-01,Activa,4289-6904-4719-8090
TAR17,Crédito,true,MasterCard,2027-06-01,Activa,7552-2935-4805-7754
TAR18,Débito,true,AmericanExpress,2027-03-01,Activa,3038-1887-1602-3719
TAR19,Débito,false,Visa,2028-06-01,Activa,5587-1314-1457-6725
TAR20,Crédito,false,Visa,2026-05-01,Activa,5292-9221-4569-8439
TAR21,Débito,true,MasterCard,2025-06-01,Bloqueada,8668-7646-1742-4877
TAR22,Débito,false,AmericanExpress,2025-12-01,Activa,4904-5124-6076-6272
TAR23,Débito,true,Visa,2026-05-01,Activa,8054-7317-8752-5908
TAR24,Débito,false,Visa,2026-11-01,Activa,8445-7951-3936-4735
TAR25,Crédito,false,MasterCard,2026-09-01,Activa,3561-7263-6576-2887
TAR26,Débito,false,MasterCard,2026-03-01,Activa,4229-1407-9624-8111
TAR27,Débito,true,MasterCard,2027-12-01,Activa,1185-8606-2762-4783
TAR28,Débito,true,Visa,2025-10-01,Activa,7153-7274-7157-4293
TAR29,Crédito,true,Visa,2027-04-01,Activa,8030-3231-9908-8194
TAR30,Crédito,true,AmericanExpress,2027-12-01,Activa,5505-6818-9029-3877
TAR31,Crédito,false,Visa,2025-06-01,Activa,4870-6869-1291-7715
TAR32,Crédito,true,MasterCard,2029-10-01,Activa,1016-6865-2224-4713
TAR33,Crédito,false,AmericanExpress,2029-02-01,Activa,6402-2612-5461-7500
TAR34,Débito,true,AmericanExpress,2025-05-01,Activa,7878-6875-7826-7869
TAR35,Crédito,true,AmericanExpress,2029-04-01,Activa,3900-9604-8781-7850
TAR36,Débito,false,Visa,2027-05-01,Activa,5227-6894-5518-4627
TAR37,Débito,true,AmericanExpress,2029-04-01,Activa,7378-7916-8244-6916
TAR38,Crédito,true,Visa,2025-03-01,Activa,9081-6326-6402-6894
TAR39,Crédito,true,MasterCard,2026-08-01,Activa,5960-1954-7388-7701
TAR40,Débito,true,Visa,2029-06-01,Activa,5775-1435-1252-8164
TAR41,Crédito,true,AmericanExpress,2027-11-01,Activa,1587-9418-7519-8907
TAR42,Débito,false,AmericanExpress,2026-12-01,Activa,3795-5012-2937-4579
TAR43,Crédito,false,MasterCard,2026-03-01,Activa,5688-7535-6829-1651
TAR44,Débito,false,AmericanExpress,2028-10-01,Activa,2465-5719-5758-4402
TAR45,Crédito,true,AmericanExpress,2026-06-01,Activa,8294-2421-2962-9661
TAR46,Débito,true,MasterCard,2026-03-01,Activa,9904-7499-1046-9743
TAR47,Crédito,true,MasterCard,2028-07-01,Activa,6077-3186-7182-6044
TAR48,Crédito,false,Visa,2027-01-01,Activa,9503-2834-4299-7504
TAR49,Crédito,true,AmericanExpress,2028-10-01,Activa,9111-4017-3329-5710
TAR50,Débito,true,Visa,2028-07-01,Activa,9892-1357-8191-3125
TAR51,Crédito,true,Visa,2027-08-01,Activa,7520-4650-7356-8363
TAR52,Débito,true,AmericanExpress,2029-10-01,Activa,3116-9549-2774-3923
TAR53,Crédito,true,MasterCard,2029-09-01,Activa,7254-7633-3202-9305
TAR54,Débito,false,AmericanExpress,2029-11-01,Activa,8776-9406-9912-7251
TAR55,Crédito,false,AmericanExpress,2026-08-01,Activa,1146-9968-6132-3411
TAR56,Crédito,false,Visa,2025-02-01,Activa,7474-2119-3406-5877
TAR57,Débito,false,Visa,2029-12-01,Activa,8262-2095-3247-1470
TAR58,Crédito,true,Visa,2025-11-01,Activa,3901-9527-1155-6072
TAR59,Crédito,true,Visa,2029-08-01,Activa,3366-2318-8961-8084
TAR60,Débito,true,Visa,2027-07-01,Activa,1605-5645-6329-9441
TAR61,Crédito,false,Visa,2028-05-01,Activa,4807-7988-3966-4708
TAR62,Crédito,false,AmericanExpress,2025-09-01,Activa,4053-2274-9990-3853
TAR63,Crédito,true,Visa,2028-02-01,Activa,7537-1678-4081-6651
TAR64,Débito,true,Visa,2026-03-01,Activa,8613-9109-9364-5358
TAR65,Débito,false,AmericanExpress,2029-12-01,Activa,1637-6063-7351-1344
TAR66,Débito,false,Visa,2029-01-01,Activa,1781-2269-8515-8931
TAR67,Débito,false,Visa,2026-02-01,Activa,9225-8314-8803-6496
TAR68,Crédito,true,Visa,2026-03-01,Activa,5099-6876-9866-9501
TAR69,Débito,true,AmericanExpress,2028-07-01,Activa,7824-7788-2686-7713
TAR70,Débito,true,MasterCard,2026-03-01,Activa,1886-7908-7547-3426
TAR71,Débito,false,MasterCard,2025-09-01,Activa,3375-5185-5998-1323
TAR72,Crédito,true,Visa,2026-11-01,Activa,6822-6401-3568-9511
TAR73,Débito,false,MasterCard,2027-12-01,Activa,8034-4353-9592-3566
TAR74,Crédito,false,MasterCard,2027-01-01,Activa,3405-9044-1104-9472
TAR75,Débito,false,Visa,2029-04-01,Activa,3687-3686-3422-4971
TAR76,Crédito,true,AmericanExpress,2027-09-01,Activa,6431-3008-1710-9420
TAR77,Débito,true,AmericanExpress,2028-09-01,Activa,9919-6005-6405-4506
TAR78,Débito,false,Visa,2027-02-01,Activa,1125-5344-8370-4944
TAR79,Crédito,true,AmericanExpress,2028-08-01,Activa,9102-7632-1594-1181
TAR80,Crédito,true,MasterCard,2028-02-01,Activa,5802-2237-5277-4406
TAR81,Crédito,true,Visa,2026-11-01,Activa,5469-7718-9330-8685
TAR82,Crédito,false,Visa,2028-10-01,Activa,8235-8874-8743-9171
TAR83,Crédito,false,AmericanExpress,2027-04-01,Activa,5498-5145-2915-9237
TAR84,Crédito,false,MasterCard,2025-04-01,Activa,6991-7593-3306-5847
TAR85,Débito,false,MasterCard,2026-05-01,Activa,9695-1254-2816-7992
TAR86,Débito,true,AmericanExpress,2025-06-01,Activa,6239-5377-2497-7645
TAR87,Débito,true,MasterCard,2029-06-01,Activa,7104-1594-2805-1339
TAR88,Débito,false,Visa,2026-02-01,Activa,8314-2116-6598-8053
TAR89,Débito,true,AmericanExpress,2026-07-01,Activa,5628-2856-6745-2051
TAR90,Crédito,true,AmericanExpress,2025-12-01,Activa,1771-6543-1633-9548
TAR91,Débito,true,AmericanExpress,2028-03-01,Activa,3457-1427-8695-5832
TAR92,Débito,true,Visa,2029-10-01,Activa,2788-3155-7124-2907
TAR93,Débito,true,AmericanExpress,2027-05-01,Activa,3034-2986-6104-6487
TAR94,Débito,false,AmericanExpress,2029-02-01,Activa,1374-7718-7919-6552
TAR95,Crédito,true,AmericanExpress,2025-03-01,Activa,2760-9778-5845-3536
TAR96,Débito,false,MasterCard,2027-04-01,Activa,5605-9742-5156-2786
TAR97,Débito,true,Visa,2027-03-01,Activa,6199-9008-3814-8748
TAR98,Crédito,true,AmericanExpress,2027-07-01,Activa,5172-4668-5103-3223
TAR99,Débito,true,AmericanExpress,2028-12-01,Activa,1463-4204-4604-3616
TAR100,Débito,true,Visa,2029-11-01,Activa,9641-1995-2078-7730
TAR101,Débito,true,MasterCard,2025-08-01,Activa,3421-9285-3629-4020
TAR102,Débito,false,Visa,2025-08-01,Activa,6487-4249-2042-9363
TAR103,Débito,true,AmericanExpress,2028-12-01,Activa,1991-2604-2693-3121
