id_usuario,nombre,apellido,fecha_nacimiento,telefono,email,pais,ciudad,nit,fecha_registro
US1,Usuario1,Apellido1,1988-09-19,39708167,usuario1@gmail.com,Nicaragua,Ciudad7,839704582,2020-09-10
US2,Usuario2,Apellido2,1981-06-08,33836865,usuario2@gmail.com,El Salvador,Ciudad9,202576642,2023-05-16
US3,Usuario3,Apellido3,1997-06-19,30086041,usuario3@gmail.com,Belice,Ciudad5,645587766,2021-08-07
US4,Usuario4,Apellido4,1977-03-03,31945256,usuario4@gmail.com,Panamá,Ciudad9,671990760,2022-10-01
US5,Usuario5,Apellido5,1983-08-11,34379438,usuario5@gmail.com,Belice,Ciudad6,262420440,2020-03-20
US6,Usuario6,Apellido6,1987-06-06,32055570,usuario6@gmail.com,Panamá,Ciudad8,171798968,2022-11-28
US7,Usuario7,Apellido7,1977-09-26,33062919,usuario7@gmail.com,Guatemala,Ciudad5,160762459,2021-05-26
US8,Usuario8,Apellido8,1976-06-14,35734013,usuario8@gmail.com,Costa Rica,Ciudad5,726371410,2021-01-01
US9,Usuario9,Apellido9,1987-02-23,31086943,usuario9@gmail.com,Guatemala,Ciudad8,448531718,2020-12-18
US10,Usuario10,Apellido10,1998-01-04,36774739,usuario10@gmail.com,Panamá,Ciudad1,311756930,2020-08-06
US11,Usuario11,Apellido11,1977-08-06,31299699,usuario11@gmail.com,El Salvador,Ciudad6,688174804,2022-05-15
US12,Usuario12,Apellido12,1984-10-20,39354449,usuario12@gmail.com,Honduras,Ciudad3,781044134,2020-10-05
US13,Usuario13,Apellido13,1979-10-16,35305315,usuario13@gmail.com,El Salvador,Ciudad5,671513820,2023-06-04
US14,Usuario14,Apellido14,1972-05-10,37062202,usuario14@gmail.com,Costa Rica,Ciudad6,162317932,2022-02-20
US15,Usuario15,Apellido15,1985-04-22,34618351,usuario15@gmail.com,El Salvador,Ciudad9,473940779,2023-12-10
US16,Usuario16,Apellido16,1974-04-20,32829751,usuario16@gmail.com,Belice,Ciudad3,676693132,2020-07-06
US17,Usuario17,Apellido17,1997-06-25,39062438,usuario17@gmail.com,Costa Rica,Ciudad2,465744415,2021-12-13
US18,Usuario18,Apellido18,1992-01-03,35582488,usuario18@gmail.com,Guatemala,Ciudad7,245008949,2023-09-23
US19,Usuario19,Apellido19,1995-02-25,33928655,usuario19@gmail.com,Guatemala,Ciudad7,556982596,2022-12-01
US20,Usuario20,Apellido20,1988-08-13,35622653,usuario20@gmail.com,Nicaragua,Ciudad3,383011434,2020-03-03
US21,Usuario21,Apellido21,1988-11-21,33332043,usuario21@gmail.com,Nicaragua,Capital,609081345,2021-06-21
US22,Usuario22,Apellido22,1994-12-12,38705929,usuario22@gmail.com,Nicaragua,Ciudad6,321623450,2022-03-13
US23,Usuario23,Apellido23,1987-03-10,33996621,usuario23@gmail.com,Honduras,Ciudad2,957161310,2022-03-27
US24,Usuario24,Apellido24,1999-06-04,37607703,usuario24@gmail.com,Nicaragua,Ciudad1,897548579,2020-11-20
US25,Usuario25,Apellido25,1975-05-01,33900361,usuario25@gmail.com,Belice,Ciudad7,270697985,2022-09-28
US26,Usuario26,Apellido26,1975-06-11,32024287,usuario26@gmail.com,Nicaragua,Ciudad5,164089148,2022-12-03
US27,Usuario27,Apellido27,1976-02-20,31038169,usuario27@gmail.com,Belice,Ciudad6,590934764,2023-02-27
US28,Usuario28,Apellido28,1996-06-01,39756892,usuario28@gmail.com,Guatemala,Ciudad7,612133219,2020-09-14
US29,Usuario29,Apellido29,1993-08-01,35010538,usuario29@gmail.com,Belice,Ciudad5,424684266,2023-07-23
US30,Usuario30,Apellido30,1990-05-12,36528482,usuario30@gmail.com,Honduras,Ciudad3,376734493,2021-04-05
US31,Usuario31,Apellido31,1979-10-05,37958582,usuario31@gmail.com,Panamá,Ciudad6,398475592,2021-08-17
US32,Usuario32,Apellido32,1988-07-17,34071078,usuario32@gmail.com,Guatemala,Ciudad2,528440407,2020-07-24
US33,Usuario33,Apellido33,1975-07-12,36679951,usuario33@gmail.com,Panamá,Ciudad9,584788267,2023-03-03
US34,Usuario34,Apellido34,1971-09-20,33908587,usuario34@gmail.com,Panamá,Ciudad1,725367312,2021-11-14
